home_team,away_team,result,home_lineup,away_lineup
Aston Villa,Blackburn Rovers,home,Shay Given - Luke Young - Stephen Warnock - Richard Dunne - James Collins - Fabian Delph - Stiliyan Petrov - Charles N'Zogbia - Gabriel Agbonlahor - Emile Heskey  - Darren Bent - ,Paul Robinson - Míchel Salgado - Martin Olsson - Grant Hanley - Ryan Nelsen - David Dunn - Morten Gamst Pedersen - Steven Nzonzi - David Junior Hoilett - Jason Roberts - David Goodwillie - 
Chelsea,West Bromwich Albion,home,Henrique Hilário - Ashley Cole - José Bosingwa - John Terry - Alex - Ramires - Frank Lampard - John Obi Mikel - Fernando Torres - Salomon Kalou - Nicolas Anelka - ,Ben Foster - Jonas Olsson - Nicky Shorey - Gabriel Tamas - Steven Reid - Somen Tchoyi - James Morrison - Chris Brunt - Youssouf Mulumbu - Paul Scharner - Shane Long - 
Everton,Queens Park Rangers,away,Tim Howard - Leighton Baines - John Heitinga - Phil Jagielka - Sylvain Distin - Ross Barkley - Jack Rodwell - Tim Cahill - Phil Neville - Leon Osman - Jermaine Beckford - ,Paddy Kenny - Matthew Connolly - Bradley Orr - Fitz Hall - Danny Gabbidon - Shaun Derry - Adel Taarabt - Ákos Buzsáky - Alejandro Faurlin - Tommy Smith - Patrick Agyemang - 
Sunderland,Newcastle United,away,Simon Mignolet - Phil Bardsley  - Wes Brown - Anton Ferdinand - Lee Cattermole - Sebastian Larsson - Kieran Richardson - Jack Colback - Ahmed El Mohamady - Stéphane Sessegnon - Asamoah Gyan - ,Tim Krul - Fabricio Coloccini - Danny Simpson - Steven Taylor - Yohan Cabaye - Ryan Taylor  - Joey Barton - Gabriel Obertan - Jonás Gutiérrez - Cheick Tioté - Shola Ameobi - 
Swansea City,Wigan Athletic,tie,Michel Vorm - Neil Taylor - Steven Caulker - Ashley Williams - Angel Rangel - Leon Britton - Nathan Dyer - Wayne Routledge - Kemy Agustien - Danny Graham - Scott Sinclair - ,Ali Al Habsi - Antolín Alcaraz - Gary Caldwell - Emmerson Boyce - Maynor Figueroa - James McCarthy - Ben Watson - Victor Moses - Jordi Gómez - Mohamed Diamé - Franco Di Santo - 
Bolton Wanderers,Manchester City,away,Jussi Jääskeläinen - Grétar Steinsson - Paul Robinson - Gary Cahill - Zat Knight - Fabrice Muamba - Chris Eagles - Martin Petrov - Nigel Reo-Coker - Kevin Davies  - Ivan Klasnic - ,Joe Hart - Micah Richards - Vincent Kompany - Joleon Lescott - Aleksandar Kolarov - James Milner - Gareth Barry - David Silva - Yaya Touré - Edin Dzeko - Sergio Agüero - 
Norwich City,Stoke City,tie,John Ruddy - Leon Barnett - Marc Tierney - Ritchie de Laet - Kyle Naughton - Bradley Johnson - Andrew Crofts - Anthony Pilkington - Elliott Bennett - Grant Holt - Chris Martin - ,Asmir Begovic - Robert Huth - Marc Wilson - Ryan Shawcross - Jonathan Woodgate - Glenn Whelan - Jermaine Pennant - Dean Whitehead - Matthew Etherington - Kenwyne Jones - Jonathan Walters - 
Wolverhampton Wanderers,Fulham,home,Wayne Hennessey - Roger Johnson - Richard Stearman - Christophe Berra - Karl Henry - Stephen Ward - Stephen Hunt - Matthew Jarvis - Jamie O'Hara - Steven Fletcher - Kevin Doyle  - ,Mark Schwarzer - John Arne Riise - Philippe Senderos - Brede Hangeland - Aaron Hughes - Pajtim Kasami - Danny Murphy - Damien Duff - Dickson Etuhu - Clint Dempsey - Andrew Johnson - 
Manchester United,Tottenham Hotspur,home,David de Gea - Patrice Evra - Phil Jones - Jonny Evans - Chris Smalling - Anderson - Nani - Ashley Young - Tom Cleverley - Wayne Rooney - Danny Welbeck - ,Brad Friedel - Kyle Walker - Younes Kaboul - Michael Dawson - Benoit Assou-Ekotto - Aaron Lennon - Rafael van der Vaart - Gareth Bale - Niko Kranjcar - Jake Livermore - Jermain Defoe - 
Aston Villa,Wolverhampton Wanderers,tie,Shay Given - Stephen Warnock - Richard Dunne - James Collins - Fabian Delph - Chris Herd - Stiliyan Petrov - Charles N'Zogbia - Gabriel Agbonlahor - Emile Heskey - Darren Bent - ,Wayne Hennessey - Roger Johnson - Richard Stearman - Christophe Berra - Karl Henry - Stephen Ward - Stephen Hunt - Matthew Jarvis - Jamie O'Hara - Steven Fletcher - Kevin Doyle - 
Blackburn Rovers,Everton,away,Paul Robinson - Míchel Salgado - Martin Olsson - Christopher Samba - Gaël Givet - Brett Emerton - David Dunn - Morten Gamst Pedersen - Steven Nzonzi - David Junior Hoilett - Jason Roberts - ,Tim Howard - Leighton Baines - John Heitinga - Phil Jagielka - Sylvain Distin - Ross Barkley - Mikel ArtetaPen. Scored - Phil Neville - Leon Osman - Marouane Fellaini - Victor Anichebe - 
Chelsea,Norwich City,home,Henrique Hilário - Branislav Ivanovic - Ashley Cole - José Bosingwa  - John Terry - Ramires - Frank LampardPen. Scored - John Obi Mikel - Florent Malouda - Fernando Torres - Didier Drogba - ,John Ruddy - Zak Whitbread - Leon Barnett - Marc Tierney - Ritchie de Laet - Kyle Naughton - Bradley Johnson - Andrew Crofts - Wes Hoolahan - Grant Holt - Chris Martin - 
Liverpool,Bolton Wanderers,home,Pepe Reina - José Enrique - Daniel Agger - Jamie Carragher - Martin Kelly - Jordan Henderson - Dirk Kuyt - Stewart Downing - Lucas Leiva - Charlie Adam - Luis Suárez - ,Jussi Jääskeläinen - Grétar Steinsson - Paul Robinson - Gary Cahill - Zat Knight - Fabrice Muamba - Chris Eagles - Martin Petrov - Nigel Reo-Coker - Kevin Davies - Ivan Klasnic  - 
Swansea City,Sunderland,tie,Michel Vorm - Neil Taylor - Steven Caulker - Ashley Williams - Angel Rangel - Leon Britton - Nathan Dyer - Wayne Routledge - Kemy Agustien - Danny Graham - Scott Sinclair - ,Simon Mignolet - Phil Bardsley - Wes Brown - John O'Shea - Anton Ferdinand - Lee Cattermole - Sebastian Larsson - Craig Gardner - Jack Colback - Stéphane Sessegnon - Asamoah Gyan - 
Wigan Athletic,Queens Park Rangers,home,Ali Al Habsi - Gary Caldwell - Emmerson Boyce - Piscu - Maynor Figueroa - Ben Watson - Victor Moses - Jordi Gómez - Mohamed Diamé - Franco Di Santo  - Hugo Rodallega - ,Paddy Kenny - Matthew Connolly - Fitz Hall - Danny Gabbidon - Bruno Perone - Shaun Derry - Adel Taarabt - Ákos Buzsáky - Alejandro Faurlin - Tommy Smith - Patrick Agyemang - 
Manchester United,Arsenal,home,David de Gea - Patrice Evra - Phil Jones - Jonny Evans - Chris Smalling - Anderson - Nani - Ashley Young   - Tom Cleverley - Wayne Rooney  Pen. Scored - Danny Welbeck - ,Wojciech Szczesny - Laurent Koscielny - Johan Djourou - Carl Jenkinson  - Armand Traore - Tomas Rosicky - Aaron Ramsey - Theo Walcott - Andrey Arshavin - Francis Coquelin - Robin van Persie - 
Newcastle United,Fulham,home,Tim Krul - Fabricio Coloccini - Danny Simpson - Steven Taylor - Ryan Taylor - Yohan Cabaye - Gabriel Obertan - Jonás Gutiérrez - Cheick Tioté - Peter Løvenkrands - Leon Best  - ,Mark Schwarzer - Brede Hangeland - Chris Baird - Matthew Briggs - Aaron Hughes - Steve Sidwell - Pajtim Kasami - Danny Murphy - Damien Duff - Clint Dempsey - Mousa Dembélé - 
Tottenham Hotspur,Manchester City,away,Brad Friedel - Younes Kaboul - Michael Dawson - Vedran Corluka - Benoit Assou-Ekotto - Aaron Lennon - Rafael van der Vaart - Gareth Bale - Luka Modric - Niko Kranjcar - Peter Crouch - ,Joe Hart - Vincent Kompany - Pablo Zabaleta - Joleon Lescott - Gaël Clichy - Samir Nasri - Gareth Barry - David Silva - Yaya Touré - Sergio Agüero - Edin Dzeko    - 
West Bromwich Albion,Stoke City,away,Ben Foster - Jonas Olsson - Nicky Shorey - Gabriel Tamas - Steven Reid - Somen Tchoyi - James Morrison - Chris Brunt - Youssouf Mulumbu - Paul Scharner - Shane Long - ,Asmir Begovic - Robert Huth - Marc Wilson - Ryan Shawcross - Jonathan Woodgate - Glenn Whelan - Jermaine Pennant - Dean Whitehead - Matthew Etherington - Kenwyne Jones - Jonathan Walters - 
Arsenal,Swansea City,home,Wojciech Szczesny - Kieran Gibbs - Bacary Sagna - Per Mertesacker - Laurent Koscielny - Aaron Ramsey - Mikel Arteta - Theo Walcott - Andrey Arshavin - Emmanuel Frimpong - Robin van Persie - ,Michel Vorm - Neil Taylor - Steven Caulker - Ashley Williams - Angel Rangel - Leon Britton - Nathan Dyer - Joe Allen - Kemy Agustien - Danny Graham - Scott Sinclair - 
Bolton Wanderers,Manchester United,away,Jussi Jääskeläinen - Paul Robinson - Gary Cahill - Zat Knight - Dedryck Boyata - Chris Eagles - Martin Petrov - Mark Davies - Nigel Reo-Coker - Kevin Davies - Ivan Klasnic - ,David de Gea - Patrice Evra - Phil Jones - Rio Ferdinand - Jonny Evans - Anderson - Nani - Ashley Young - Tom Cleverley - Wayne Rooney   - Chicharito  - 
Everton,Aston Villa,tie,Tim Howard - Tony Hibbert - Leighton BainesPen. Scored - Phil Jagielka - Sylvain Distin - Diniyar Bilyaletdinov - Jack Rodwell - Tim Cahill - Leon Osman - Séamus Coleman - Marouane Fellaini - ,Shay Given - Stephen Warnock - Richard Dunne - James Collins - Alan Hutton - Fabian Delph - Stiliyan Petrov - Charles N'Zogbia - Gabriel Agbonlahor  - Emile Heskey - Darren Bent - 
Manchester City,Wigan Athletic,home,Joe Hart - Micah Richards - Vincent Kompany - Joleon Lescott - Gaël Clichy - James Milner - Adam Johnson - David Silva - Yaya Touré - Sergio Agüero   - Carlos Tevez - ,Ali Al Habsi - Gary Caldwell - Emmerson Boyce - Piscu - Maynor Figueroa - Ben Watson - Victor Moses - James McArthur - Mohamed Diamé - Franco Di Santo - Hugo Rodallega - 
Stoke City,Liverpool,home,Asmir Begovic - Robert Huth - Marc Wilson - Ryan Shawcross - Matt Upson - Jermaine Pennant - Dean Whitehead - Rory Delap - Matthew Etherington - Jonathan WaltersPen. Scored - Peter Crouch - ,Pepe Reina - José Enrique - Daniel Agger - Jamie Carragher - Martin Skrtel - Jordan Henderson - Dirk Kuyt - Stewart Downing - Lucas Leiva - Charlie Adam - Luis Suárez - 
Sunderland,Chelsea,away,Simon Mignolet - Phil Bardsley - Wes Brown - Titus Bramble - Lee Cattermole - Sebastian Larsson - Craig Gardner - Kieran Richardson - Jack Colback - Stéphane Sessegnon - Nicklas Bendtner - ,Petr Cech - Branislav Ivanovic - Ashley Cole - José Bosingwa - John Terry - Ramires - Frank Lampard - Raul Meireles - Juan Mata - Daniel Sturridge - Nicolas Anelka - 
Wolverhampton Wanderers,Tottenham Hotspur,away,Wayne Hennessey - Roger Johnson - Richard Stearman - Christophe Berra - Michael Kightly - Karl Henry - Stephen Ward - Stephen Hunt - Jamie O'Hara - Steven Fletcher - Kevin Doyle - ,Brad Friedel - Kyle Walker - Younes Kaboul - Ledley King - Benoit Assou-Ekotto - Scott Parker - Gareth Bale - Luka Modric - Niko Kranjcar - Emmanuel Adebayor - Jermain Defoe - 
Fulham,Blackburn Rovers,tie,Mark Schwarzer - John Arne Riise - Philippe Senderos - Brede Hangeland - Aaron Hughes - Steve Sidwell - Danny Murphy - Damien Duff - Clint Dempsey - Bryan Ruiz - Bobby Zamora - ,Paul Robinson - Míchel Salgado - Christopher Samba - Scott Dann - Gaël Givet - David Dunn - Steven Nzonzi - David Junior Hoilett - Mauro Formica - Rubén Rochina - David Goodwillie - 
Norwich City,West Bromwich Albion,away,Declan Rudd - Leon Barnett - Marc Tierney - Ritchie de Laet - Kyle Naughton - Bradley Johnson - Andrew Crofts - Elliott Bennett - Andrew Surman - Grant Holt - Chris Martin - ,Ben Foster - Jonas Olsson - Nicky Shorey - Gabriel Tamas - Steven Reid - Jerome Thomas - Graham Dorrans - Youssouf Mulumbu - Paul Scharner - Shane Long - Peter Odemwingie - 
Queens Park Rangers,Newcastle United,tie,Paddy Kenny - Armand Traore - Danny Gabbidon - Luke Young - Anton Ferdinand - Shaun Derry - Joey Barton - Adel Taarabt - Shaun Wright-Phillips - Alejandro Faurlin - Jay Bothroyd - ,Tim Krul - Fabricio Coloccini - Danny Simpson - Steven Taylor - Ryan Taylor - Yohan Cabaye - Gabriel Obertan - Jonás Gutiérrez - Cheick Tioté - Leon Best - Shola Ameobi - 
Aston Villa,Newcastle United,tie,Shay Given - Stephen Warnock - Richard Dunne - James Collins - Alan Hutton - Fabian Delph - Stiliyan Petrov - Charles N'Zogbia - Barry Bannan - Gabriel Agbonlahor - Darren Bent - ,Tim Krul - Fabricio Coloccini - Danny Simpson - Steven Taylor - Ryan Taylor - Yohan Cabaye - Gabriel Obertan - Jonás Gutiérrez - Cheick Tioté - Demba Ba - Leon Best  - 
Blackburn Rovers,Arsenal,home,Paul Robinson - Míchel Salgado - Christopher Samba - Scott Dann - Gaël Givet - Jason Lowe - Steven Nzonzi - David Junior Hoilett - Mauro Formica - Rubén Rochina - Yakubu  - ,Wojciech Szczesny - Bacary Sagna - Per Mertesacker - Laurent KoscielnyOwn  - André Santos - Aaron Ramsey - Mikel Arteta - Alexandre SongOwn  - Andrey Arshavin - Robin van Persie - Gervinho - 
Bolton Wanderers,Norwich City,away,Jussi Jääskeläinen - Paul Robinson - Gary Cahill - Zat Knight - Dedryck Boyata - Martin PetrovPen. Scored - Nigel Reo-Coker - Darren Pratley - Tuncay Sanli - Kevin Davies - Ivan Klasnic - ,John Ruddy - Russell Martin - Leon Barnett - Marc Tierney - Kyle Naughton - Bradley Johnson - Anthony Pilkington - Wes Hoolahan - Elliott Bennett - David Fox - Steve Morison - 
Everton,Wigan Athletic,home,Tim Howard - Tony Hibbert - Leighton Baines - Phil Jagielka - Sylvain Distin - Diniyar Bilyaletdinov - Jack Rodwell - Tim Cahill - Leon Osman - Séamus Coleman - Marouane Fellaini - ,Ali Al Habsi - Gary Caldwell - Patrick van Aanholt - Piscu - Maynor Figueroa - James McCarthy - Ben Watson - Victor Moses - Jordi Gómez - Franco Di Santo - Hugo Rodallega - 
Swansea City,West Bromwich Albion,home,Michel Vorm - Neil Taylor - Ashley Williams - Garry Monk - Angel Rangel - Leon Britton - Nathan Dyer - Joe Allen - Mark Gower - Scott SinclairPen. Scored - Leroy Lita  - ,Ben Foster - Jonas Olsson - Nicky Shorey - Craig Dawson - Steven Reid - James Morrison - Jerome Thomas - Youssouf Mulumbu - Paul Scharner - Shane Long - Peter Odemwingie - 
Wolverhampton Wanderers,Queens Park Rangers,away,Wayne Hennessey - Roger Johnson - George Elokobi - Richard Stearman - Christophe Berra - Michael Kightly - Karl Henry - Stephen Ward - Matthew Jarvis - Jamie O'Hara - Kevin Doyle - ,Paddy Kenny - Armand Traore - Danny Gabbidon - Luke Young - Anton Ferdinand - Shaun Derry - Joey Barton - Adel Taarabt - Shaun Wright-Phillips - Alejandro Faurlin  - Jay Bothroyd - 
Fulham,Manchester City,tie,Mark Schwarzer - Stephen Kelly - John Arne Riise - Brede Hangeland - Chris Baird - Steve Sidwell - Danny Murphy - Damien Duff - Clint Dempsey - Bobby Zamora - Mousa Dembélé - ,Joe Hart - Micah Richards - Vincent KompanyOwn  - Joleon Lescott - Gaël Clichy - Samir Nasri - Gareth Barry - David Silva - Yaya Touré - Sergio Agüero  - Edin Dzeko - 
Manchester United,Chelsea,home,David de Gea - Patrice Evra - Phil Jones - Jonny Evans - Chris Smalling - Anderson - Nani - Ashley Young - Darren Fletcher - Wayne Rooney - Chicharito - ,Petr Cech - Branislav Ivanovic - Ashley Cole - José Bosingwa - John Terry - Ramires - Frank Lampard - Raul Meireles - Fernando Torres - Juan Mata - Daniel Sturridge - 
Sunderland,Stoke City,home,Simon Mignolet - Wes Brown - John O'Shea - Titus Bramble - Sebastian Larsson - Craig Gardner  - Kieran Richardson - David Vaughan - Ahmed El Mohamady - Stéphane Sessegnon - Nicklas Bendtner - ,Asmir Begovic - Robert Huth - Marc Wilson - Ryan Shawcross - Jonathan WoodgateOwn  - Dean Whitehead - Rory Delap - Matthew Etherington - Jonathan Walters - Peter Crouch - Cameron Jerome - 
Tottenham Hotspur,Liverpool,home,Brad Friedel - Kyle Walker - Younes Kaboul - Ledley King - Benoit Assou-Ekotto - Scott Parker - Gareth Bale - Luka Modric - Niko Kranjcar - Emmanuel Adebayor   - Jermain Defoe - ,Pepe Reina - José Enrique - Daniel Agger - Jamie Carragher - Martin Skrtel  - Jordan Henderson - Stewart Downing - Lucas Leiva - Charlie Adam  - Luis Suárez - Andy Carroll - 
Arsenal,Bolton Wanderers,home,Wojciech Szczesny - Kieran Gibbs - Bacary Sagna - Per Mertesacker - Laurent Koscielny - Mikel Arteta - Aaron Ramsey - Theo Walcott - Alexandre Song - Robin van Persie  - Gervinho - ,Jussi Jääskeläinen - Grétar Steinsson - Paul Robinson - Zat Knight - David Wheater - Fabrice Muamba - Chris Eagles - Martin Petrov - Nigel Reo-Coker - Darren Pratley - David N'Gog - 
Chelsea,Swansea City,home,Petr Cech - Branislav Ivanovic - Ashley Cole - José Bosingwa - John Terry - Ramires  - John Obi Mikel - Raul Meireles - Fernando Torres  - Juan Mata - Nicolas Anelka - ,Michel Vorm - Neil Taylor - Ashley Williams - Garry Monk - Angel Rangel - Leon Britton - Nathan Dyer - Joe Allen - Mark Gower - Scott Sinclair - Leroy Lita - 
Liverpool,Wolverhampton Wanderers,home,Pepe Reina - José Enrique - Jamie Carragher - Martin Kelly - Martin Skrtel - Jordan Henderson - Stewart Downing - Lucas Leiva - Charlie Adam - Luis Suárez - Andy Carroll - ,Wayne Hennessey - Roger JohnsonOwn  - Richard Stearman - Christophe Berra - David Edwards - Karl Henry - Stephen Ward - Stephen Hunt - Matthew Jarvis - Jamie O'Hara - Kevin Doyle - 
Manchester City,Everton,home,Joe Hart - Micah Richards - Vincent Kompany - Joleon Lescott - Gaël Clichy - Samir Nasri - Gareth Barry - David Silva - Yaya Touré - Edin Dzeko - Sergio Agüero - ,Tim Howard - Tony Hibbert - Leighton Baines - Phil Jagielka - Sylvain Distin - Jack Rodwell - Tim Cahill - Phil Neville - Leon Osman - Séamus Coleman - Marouane Fellaini - 
Newcastle United,Blackburn Rovers,home,Tim Krul - Fabricio Coloccini - Danny Simpson - Steven Taylor - Ryan Taylor - Yohan Cabaye - Gabriel Obertan - Jonás Gutiérrez - Cheick Tioté - Demba Ba   - Leon Best - ,Paul Robinson - Míchel Salgado - Martin Olsson  - Christopher Samba - Scott Dann - Gaël Givet - Jason Lowe - Steven Nzonzi - David Junior Hoilett - Mauro Formica - Yakubu - 
Stoke City,Manchester United,tie,Asmir Begovic - Marc Wilson - Ryan Shawcross - Andy Wilkinson - Jonathan Woodgate - Glenn Whelan - Jermaine Pennant - Rory Delap - Matthew Etherington - Jonathan Walters - Peter Crouch - ,David de Gea - Patrice Evra - Phil Jones - Rio Ferdinand - Anderson - Nani - Ashley Young - Darren Fletcher - Luis Antonio Valencia - Dimitar Berbatov - Chicharito - 
West Bromwich Albion,Fulham,tie,Ben Foster - Jonas Olsson - Nicky Shorey - Gareth McAuley - Steven Reid - Chris Brunt - Jerome Thomas - Graham Dorrans - Youssouf Mulumbu - Shane Long - Peter Odemwingie - ,Mark Schwarzer - John Arne Riise - Brede Hangeland - Chris Baird - Zdenek Grygera - Steve Sidwell - Pajtim Kasami - Danny Murphy - Clint Dempsey - Orlando Sá - Mousa Dembélé - 
Wigan Athletic,Tottenham Hotspur,away,Ali Al Habsi - Steve Gohouri  - Gary Caldwell - Patrick van Aanholt - Maynor Figueroa - James McCarthy - Ben Watson - Victor Moses - Jordi Gómez - Mohamed Diamé - Franco Di Santo - ,Brad Friedel - Kyle Walker - Younes Kaboul - Ledley King - Benoit Assou-Ekotto - Scott Parker - Rafael van der Vaart - Gareth Bale - Luka Modric - Sandro - Emmanuel Adebayor - 
Queens Park Rangers,Aston Villa,tie,Paddy Kenny - Armand Traore  - Fitz Hall - Luke Young - Anton Ferdinand - Shaun Derry - Joey Barton - Adel Taarabt - Shaun Wright-Phillips - Alejandro Faurlin - Jay Bothroyd - ,Shay Given - Stephen Warnock - Richard DunneOwn  - James Collins - Alan Hutton - Fabian Delph - Stiliyan Petrov - Charles N'Zogbia - Stephen Ireland - Barry BannanPen. Scored - Gabriel Agbonlahor - 
Norwich City,Sunderland,home,John Ruddy - Russell Martin - Leon Barnett - Marc Tierney - Kyle Naughton - Bradley Johnson - Anthony Pilkington - Wes Hoolahan - Elliott Bennett - David Fox - Steve Morison - ,Simon Mignolet - Wes Brown - John O'Shea - Titus Bramble - Sebastian Larsson - Craig Gardner - Kieran Richardson - David Vaughan - Ahmed El Mohamady - Stéphane Sessegnon - Nicklas Bendtner - 
Aston Villa,Wigan Athletic,home,Shay Given - Stephen Warnock - Richard Dunne - James Collins - Alan Hutton - Fabian Delph - Stiliyan Petrov - Stephen Ireland - Barry Bannan - Gabriel Agbonlahor - Darren Bent - ,Ali Al Habsi - Gary Caldwell - Emmerson Boyce - Patrick van Aanholt - Ronnie Stam - Maynor Figueroa - James McCarthy - Ben Watson - Victor Moses - Mohamed Diamé - Franco Di Santo - 
Blackburn Rovers,Manchester City,away,Paul Robinson - Christopher Samba - Scott Dann - Gaël Givet - Jason Lowe - Radosav Petrovic - Morten Gamst Pedersen - Steven Nzonzi - David Junior Hoilett - Yakubu - David Goodwillie - ,Joe Hart - Vincent Kompany - Pablo Zabaleta - Joleon Lescott - Aleksandar Kolarov - James Milner - Adam Johnson - David Silva - Yaya Touré - Sergio Agüero - Mario Balotelli - 
Everton,Liverpool,away,Tim Howard - Tony Hibbert - Leighton Baines - Phil Jagielka - Sylvain Distin - Jack Rodwell - Tim Cahill - Leon Osman - Séamus Coleman - Marouane Fellaini - Louis Saha - ,Pepe Reina - José Enrique - Jamie Carragher - Martin Kelly - Martin Skrtel - Dirk Kuyt - Stewart Downing - Lucas Leiva - Charlie Adam - Luis Suárez - Andy Carroll - 
Manchester United,Norwich City,home,Anders Lindegaard - Patrice Evra - Phil Jones - Jonny Evans - Anderson - Park Ji-Sung - Nani - Darren Fletcher - Luis Antonio Valencia - Wayne Rooney - Chicharito - ,John Ruddy - Russell Martin - Leon Barnett - Marc Tierney - Kyle Naughton - Bradley Johnson - Anthony Pilkington - Wes Hoolahan - Elliott Bennett - David Fox - Steve Morison - 
Sunderland,West Bromwich Albion,tie,Simon Mignolet - Michael Turner - Wes Brown - John O'Shea - Lee Cattermole - Sebastian Larsson - Craig Gardner - Kieran Richardson - Ahmed El Mohamady - Stéphane Sessegnon - Nicklas Bendtner - ,Ben Foster - Jonas Olsson - Nicky Shorey - Gareth McAuley - Steven Reid - James Morrison - Chris Brunt - Graham Dorrans - Youssouf Mulumbu - Shane Long - Peter Odemwingie - 
Wolverhampton Wanderers,Newcastle United,away,Wayne Hennessey - Roger Johnson - Richard Stearman - Christophe Berra - Karl Henry - Stephen Ward - Stephen Hunt - Matthew Jarvis - Jamie O'Hara - Steven Fletcher - Kevin Doyle - ,Tim Krul - Fabricio Coloccini - Danny Simpson - Steven Taylor - Yohan Cabaye - Ryan Taylor - Gabriel Obertan - Jonás Gutiérrez  - Cheick Tioté - Demba Ba - Leon Best - 
Bolton Wanderers,Chelsea,away,Adam Bogdan - Grétar Steinsson - Paul Robinson - Gary Cahill - Dedryck Boyata - Martin Petrov - Ricardo Gardner - Nigel Reo-Coker - Darren Pratley - David N'Gog - Kevin Davies - ,Petr Cech - Ashley Cole - David Luiz - José Bosingwa - John Terry - Ramires - Frank Lampard   - Raul Meireles - Juan Mata - Didier Drogba - Daniel Sturridge  - 
