Season_number,Week,home_team,away_team,result,home_lineup,away_lineup
1990,2,Chelsea,Tottenham Hotspur,L,EggertJónsson-JohnHeitinga-TitusBramble-PhilippeSenderos-YohanCabaye-RobinvanPersie-PeterCrouchOwn-AntonFerdinand-RadosavPetrovic-StephenIreland-WilsonPalacios,AndyWilkinson-WayneRooney-Yakubu-GrantHanley-DavidStockdale-JohnO'Shea-MatthewKilgallon-BradleyJohnson-KeirenWestwood-LeightonBaines-TonyHibbert
1990,2,Blackburn Rovers,Liverpool,L,StevenPienaar-KemyAgustien-RaulMeireles-MarkSchwarzer-EdinDzeko-StephenWarnock-AndréSantos-JohnRuddy-DavidFox-JamieO'Hara-Anderson,SotiriosKyrgiakos-MarouaneFellaini-PhilJones-AntolínAlcaraz-GarethBarry-TimKrul-StewartDowning-MauroFormica-AdamHammill-DorusdeVries-VincentKompany
1990,2,Aston Villa,Wigan Athletic,D,DidierDrogba-RussellMartin-DarrenBentPen.Scored-AdamJohnson-JermaineJenas-WojciechSzczesny-Marc-RomeluLukaku-PepeReina-PhilJagielka-SambaDiakité,MarioBalotelliPen.Scored-KevinDavies-BrettEmerton-AleksandarKolarov-PapissDembaCissé-KerimFrei-MichaelEssien-RobbieKeane-DedryckBoyata-DimitarBerbatov-BredeHangeland
1990,2,Stoke City,Norwich City,L,IvanKlasnic-MousaDembélé-ClintDempsey-TayeTaiwo-MaynorFigueroa-MortenGamstPedersen-RicardoFuller-ZoltánGera-MikelArteta-MartinPetrovPen.Scored-AlejandroFaurlin,BarryBannan-NathanDyer-GlenJohnson-MartinKelly-StefanSavic-MíchelSalgado-Chicharito-SamRicketts-SimonLappin-NemanjaVidic-DavidN'Gog
1990,2,Manchester City,Swansea City,L,JamesMilner-GarethBale-SimonMignolet-FitzHall-JamesPerch-Fabio-JohanDjourou-MartinSkrtel-ZatKnight-ElliottWard-BenoitAssou,WayneBridge-StephenHunt-MarcAlbrighton-Rafael-PaulRobinson-LiamRidgewell-PetrCech-StiliyanPetrov-DjibrilCissé-DannyGrahamPen.Scored-JayBothroyd
1990,2,West Bromwich Albion,Fulham,W,BradleyOrr-BobbyZamora-JordiGómez-WilliamGallas-Sung-SimonVukcevic-TomasRosicky-JamieMackie-RichardDunne-JermainePennant-MatthewConnolly,AaronWilbraham-AndreasWeimann-HeidarHelgusonPen.Scored-DavidJones-RogerJohnson-DanielAyala-AndrewSurman-AlexandreSong-SamHutchinson-DannyGrahamOwn-JonathanWalters
1990,2,Newcastle United,Sunderland,W,JonathanWaltersPen.Scored-NigeldeJong-RoryDelap-LeonOsman-MattUpson-JamesMcClean-VictorAnichebe-ShaunDerry-AsmirBegovic-HatemBenArfa-KevinDoyleOwn,JoeRiley-FabricioColoccini-ShaneDuffy-NicolasAnelka-YossiBenayoun-Chamberlain-DavidDavis-ThomasSørensen-DannyWelbeck-DarrenPratley-AaronRamseyOwn
1990,2,Wolverhampton Wanderers,Everton,L,DavidEdwards-NeilTaylorOwn-DarrenFletcher-SimonCox-GabrielTamas-AlexOxlade-FrankLampardPen.Scored-GylfiSigurdsson-SylvainMarveaux-GaryGardner-BenAmos,AnthonyModeste-AngelRangel-NikicaJelavicPen.Scored-CheickTioté-MikeWilliamson-SylvanEbanks-JoleonLescott-SamirNasri-TommySmith-ZakWhitbread-ChristopheBerra
1990,2,Manchester United,Queens Park Rangers,D,CraigDawson-LandonDonovan-MarkGower-PatrickvanAanholt-ApostolosVellios-JoséBosingwa-MohamedDiamé-LeightonBainesPen.Scored-StevenReidOwn-KieranGibbs-BranislavIvanovic,MarcusOlsson-MarcTierney-NathanBaker-KarlHenry-JermaineBeckford-ScottParker-LukaModric-RonnieStam-CarlosCuellar-BradGuzan-DavidVaughan
1990,2,Bolton Wanderers,Arsenal,D,JamesMcCarthy-StéphaneSessegnon-OriolRomeu-KyleNaughton-ElliottBennett-EricLichaj-MartinOlsson-JeromeThomas-NedumOnuoha-LeroyLita-GrétarSteinsson,ThomasVermaelenOwn-DavidWheater-NikoKranjcar-MartinSkrtelOwn-TuncaySanli-KieranRichardson-ShayGiven-SéamusColeman-SteveMorison-MarouaneChamakh-JonasOlsson
1990,3,Tottenham Hotspur,Blackburn Rovers,D,DarrenBent-StevenGerrard-AndyWilkinson-BradleyJohnson-GarethMcAuley-JonnyHowson-AlbertCrusat-WayneRooney-RafaelvanderVaart-Yakubu-StephenWard,DanielSturridge-MichelVorm-Sandro-RyanGiggs-Anderson-StevenPienaar-RaulMeireles-JamieO'Hara-MarkSchwarzer-AdamHenley-ChrisHerd
1990,3,Chelsea,Aston Villa,W,RicardoGardner-LucasLeiva-YohanCabaye-PatriceEvra-CarlJenkinson-LouisSaha-SebastiánCoates-MaxiRodríguez-MartonFülöp-RonaldZubar-RobinvanPersie,PepeReina-JermaineJenas-DidierDrogba-WayneRoutledge-WojciechSzczesny-SambaDiakité-RomeluLukaku-ChristopherSamba-Marc-GaryCahill-ClintHill
1990,3,Liverpool,Stoke City,W,GarethBarry-MarouaneFellaini-SomenTchoyi-DannyGabbidon-DeanWhitehead-MauroFormica-MagayeGueye-Piscu-Phillips-AntolínAlcaraz-DannyGabbidonOwn,AlejandroFaurlin-JonjoShelvey-MousaDembélé-DicksonEtuhu-MikelArteta-StevenNzonzi-ChrisBrunt-PhilNeville-AlanHutton-LedleyKing-MaynorFigueroa
1990,3,Wigan Athletic,Manchester City,L,WayneRooneyPen.Scored-TomCleverley-RyoMiyaichi-YounesKaboul-MichaelEssien-PeterLøvenkrands-PapissDembaCissé-AleksandarKolarov-BredeHangeland-PhilBardsley-RobbieKeane,FitzHall-RyanShawcross-RyanTaylor-JohanDjourou-AnthonyPilkington-StevenFletcher-ZatKnight-AaronHughes-MahamadouDiarra-ElliottWard-PavelPogrebnyak
1990,3,Norwich City,West Bromwich Albion,W,MartinKelly-Chicharito-EmmanuelAdebayor-TonyHibbertOwn-ShaneLong-CiaranClark-KoloTouré-SteveSidwell-GlenJohnson-NemanjaVidic-DavidN'Gog,TomasRosicky-ChrisSmalling-AndersLindegaard-JordiGómez-RubénRochina-BradleyOrr-StephenKelly-JohnObiMikel-SalomonKalou-SimeonJackson-MicahRichards
1990,3,Swansea City,Newcastle United,W,StiliyanPetrov-MarcAlbrighton-DannyRose-CraigGordon-WayneBridge-ConorSammon-FraizerCampbell-FabriceMuamba-DembaBa-Doni-Alex,MattUpson-KieronDyer-EmileHeskey-RoryDelap-JamesMcClean-VictorAnichebe-LeonOsman-NigeldeJong-ScottSinclairPen.Scored-LeonBritton-LeeCattermole
1990,3,Fulham,Wolverhampton Wanderers,W,DanielAyala-AaronRamsey-AdamBogdan-GabrielObertan-GeorgeElokobi-NikicaJelavic-MichaelTurner-CraigGardner-BenFoster-JonathanWalters-SamHutchinson,MichaelCarrick-NeilTaylorOwn-SylvainMarveaux-SimonCox-RyanShotton-GylfiSigurdsson-KevinFoley-JonnyEvans-FrankLampardPen.Scored-KenwyneJones-KevinDoyle
1990,3,Sunderland,Manchester United,L,FabricioColoccini-NicolasAnelka-ThomasSørensen-LukeMoore-JoshMcEachran-DarrenPratley-GabrielAgbonlahor-DavidDavis-Chamberlain-JoeRiley-AshleyCole,PatrickvanAanholt-GaryCaldwellOwn-CharlieAdam-ZdenekGrygera-JoséBosingwa-HenriqueHilário-GlennWhelan-LuisAntonioValencia-LandonDonovan-DanielAgger-ScottDannOwn
1990,3,Everton,Bolton Wanderers,L,Coker-PabloZabaleta-AngelRangel-SylvainDistin-TommySmith-JoleonLescott-GaëlGivet-RyanBertrand-MikeWilliamson-JakeLivermore-AnthonyModeste,LeroyLita-DannyMurphy-SimonDavies-StéphaneSessegnon-KyleNaughton-JeromeThomas-EricLichaj-NedumOnuoha-MatthewEtherington-CameronJerome-PerMertesacker
1990,3,Queens Park Rangers,Arsenal,L,NicklasBendtner-EmmanuelFrimpong-JermaineBeckford-LukaModric-NathanBaker-FernandoTorres-BradGuzan-AshleyWilliams-GaryCaldwell-MarcTierney-ShaunWright,JonásGutiérrez-FabianDelph-DavidWheater-JordanHenderson-ThomasVermaelenOwn-YakubuPen.Scored-SéamusColeman-DJCampbell-TuncaySanli-MartinSkrtelOwn-MarioBalotelli
1990,4,Aston Villa,Tottenham Hotspur,W,RussellMartin-GaryCahill-DamienDuff-PhilJagielka-Marc-AndrewCrofts-JermaineJenas-PepeReina-ClintHill-DavidGoodwillie-AdamJohnson,ParkJi-BradleyJohnson-StevenReid-MatthewKilgallon-AndyWilkinson-HarisVuckic-GarethMcAuley-DavidStockdale-LeightonBaines-Yakubu-TonyHibbert
1990,4,Stoke City,Blackburn Rovers,L,AdamDrury-ClintDempsey-JonjoShelvey-RicardoFuller-PhilNeville-FrankLampard-AlejandroFaurlin-IvanKlasnic-ZoltánGera-MaynorFigueroa-JoséEnrique,RaulMeireles-EdinDzeko-GrantHoltPen.Scored-StevenCaulker-FábioAurélio-AdamHenley-DiniyarBilyaletdinov-Anderson-AndréSantos-Nani-JasonLowe
1990,4,Manchester City,Chelsea,L,AnthonyPilkington-SergioAgüero-GrantHolt-PavelPogrebnyak-FitzHall-MahamadouDiarra-ZatKnight-SimonMignolet-Fabio-RyanTaylor-MartinSkrtel,LucasLeiva-AntonFerdinand-Gervinho-WilsonPalacios-PatriceEvra-RobinvanPersie-PeterCrouchOwn-SebastiánCoates-TitusBramble-JohnHeitinga-RonaldZubar
1990,4,West Bromwich Albion,Liverpool,L,DavidDunn-WilliamGallas-TimHoward-Sung-SimeonJackson-TomasRosicky-JermainePennant-MatthewConnolly-AndersLindegaard-GrahamDorrans-JohnObiMikel,TimKrul-Piscu-ÁkosBuzsáky-DorusdeVries-AntolínAlcaraz-DannyGabbidon-DeanWhitehead-KyleWalker-HugoRodallega-KeithAndrews-MagayeGueye
1990,4,Newcastle United,Wigan Athletic,L,AsmirBegovic-VictorAnichebe-ShaunDerry-DanielAggerOwn-MartinPetrov-ScottSinclairPen.Scored-LeonBritton-RoryDelap-RobertHuth-LeonOsman-LeeCattermole,PhilBardsley-JuanMata-RyoMiyaichi-WayneRooneyPen.Scored-DedryckBoyata-AleksandarKolarov-BredeHangeland-Ekotto-PapissDembaCissé-KerimFrei-DavideSanton
1990,4,Wolverhampton Wanderers,Norwich City,L,NeilTaylorOwn-AndreyArshavin-DavidEdwards-MarcosAlonso-SylvainMarveaux-MichaelCarrick-KevinFoley-SimonCox-ChrisBairdOwn-KenwyneJones-BenAmos,ShaneLong-JamesCollins-EmmanuelAdebayor-CiaranClark-SimonLappin-MíchelSalgado-Ramires-LukeYoung-NemanjaVidic-NathanDyer-MarcWilson
1990,4,Manchester United,Swansea City,W,GaryCaldwellOwn-DavidPizarro-HenriqueHilário-MohamedDiamé-ApostolosVellios-DannyMurphyPen.Scored-LuisAntonioValencia-StevenReidOwn-BryanRuiz-CraigDawson-LeightonBainesPen.Scored,StephenHunt-MarcAlbrighton-PaulRobinson-CraigGordon-DjibrilCissé-SergioAgüeroPen.Scored-DannyRose-Alex-FabriceMuamba-DembaBa-ConorSammon
1990,4,Bolton Wanderers,Fulham,W,SimonDavies-StéphaneSessegnon-LaurentKoscielny-JoeAllen-PerMertesacker-MatthewEtherington-TimReam-NedumOnuoha-SholaAmeobi-JeromeThomas-MartinOlsson,AlexandreSong-CraigBellamy-AaronWilbraham-DannyGrahamOwn-LeonBarnett-SebastianLarsson-AaronRamsey-BenFoster-JonathanWalters-NikicaJelavic-CharlesN'Zogbia
1990,4,Arsenal,Sunderland,W,JordanHenderson-KieranRichardson-JazzRichards-DavidWheater-FabianDelph-MartinSkrtelOwn-JonasOlsson-TuncaySanli-AsamoahGyan-ThomasVermaelenOwn-JonathanWoodgate,DannyWelbeck-DaviddeGea-YossiBenayoun-JamesMcFadden-Chamberlain-JodyCraddock-DarrenPratley-ShaneDuffy-AshleyCole-ChicharitoPen.Scored-LukeMoore
1990,4,Queens Park Rangers,Everton,L,NathanBaker-GaryCaldwell-FernandoTorres-AaronLennon-JermaineBeckford-DannyGuthrie-MarcusOlsson-CarlosCuellar-ScottParker-DavidVaughan-EmmersonBoyce,PeterOdemwingie-PabloZabaleta-AndyCarroll-ChrisMartin-Coker-BradFriedel-ZakWhitbread-SamirNasri-GaëlGivet-JakeLivermore-ScottSinclair
1990,5,Tottenham Hotspur,Stoke City,W,BradleyJohnson-MatthewKilgallon-RossBarkley-GarethMcAuley-DarrenBent-StevenReid-StevenGerrard-WayneRooney-StephenWard-AshleyYoung-JohnO'Shea,StevenNzonzi-JaySpearing-TayeTaiwo-ChrisBrunt-ChrisBaird-BobbyZamoraPen.Scored-IvanKlasnic-AlanHutton-FrankLampard-MikelArteta-JamesMorrison
1990,5,Aston Villa,Manchester City,L,DidierDrogbaPen.Scored-AndrewCrofts-GaryCahill-ClintHill-DamienDuff-WayneRoutledge-RomeluLukaku-PhilJagielka-AdlèneGuédioura-JackRodwell-Marc,FitzHall-VedranCorluka-JackColback-PavelPogrebnyak-StevenFletcher-NickyShorey-Fabio-MahamadouDiarra-RyanTaylor-JamesPerch-StephenDobbie
1990,5,Blackburn Rovers,West Bromwich Albion,W,MichelVorm-JamieO'Hara-Anderson-RaulMeireles-FábioAurélio-DanielSturridge-StephenWarnock-EdinDzeko-GrantHoltPen.Scored-RoystonDrenthe-GonzaloJara,NigelReo-MicahRichards-PaulScholes-DavidDunn-SalomonKalou-BobbyZamora-RubénRochina-TomasRosicky-StephenKelly-AndersLindegaard-Sung
1990,5,Chelsea,Newcastle United,W,AntonFerdinand-MaxiRodríguez-PeterCrouchOwn-RadosavPetrovic-Gervinho-StephenWarnockOwn-RonaldZubar-StephenIreland-MartonFülöp-YoussoufMulumbu-CarlJenkinson,MatthewJarvis-RadekCerny-JonathanWaltersPen.Scored-KieronDyer-MartinPetrov-ScottSinclairPen.Scored-RichardStearman-VictorAnichebe-LeonBritton-NigeldeJong-ShaunDerry
1990,5,Liverpool,Wolverhampton Wanderers,W,SomenTchoyi-SebastienBassong-KeithAndrews-DorusdeVries-RitchiedeLaet-AntolínAlcaraz-MagayeGueye-DannyGabbidonOwn-SotiriosKyrgiakos-JussiJääskeläinen-ÁkosBuzsáky,MichaelCarrick-GylfiSigurdsson-Blake-AndreyArshavin-MarcosAlonso-FrankLampardPen.Scored-DavidEdwards-SimonCox-ChrisBairdOwn-AlexOxlade-JonnyEvans
1990,5,Wigan Athletic,Manchester United,L,BredeHangeland-BrettEmerton-KerimFrei-DedryckBoyata-WayneRooneyPen.Scored-GaëlClichy-MarioBalotelliPen.Scored-PeterLøvenkrands-TomCleverley-DavideSanton-ArmandTraore,ZdenekGrygera-JonFlanagan-PatrickvanAanholt-StevenReidOwn-CraigDawson-ScottDannOwn-LeightonBainesPen.Scored-BranislavIvanovic-ApostolosVellios-MichaelKightly-LandonDonovan
1990,5,Norwich City,Bolton Wanderers,L,Chicharito-CiaranClark-AndreaOrlandi-NathanDyer-TonyHibbertOwn-GlenJohnson-Ramires-BillyJones-EmmanuelAdebayor-SimonLappin-BarryBannan,MatthewEtherington-MartinOlsson-NedumOnuoha-OriolRomeu-PerMertesacker-SholaAmeobi-LaurentKoscielny-EricLichaj-JohnArneRiise-DannyMurphy-GarryMonk
1990,5,Swansea City,Arsenal,W,PetrCech-ConorSammon-StiliyanPetrov-MichaelDawson-FabriceMuamba-DannyGrahamPen.Scored-DembaBa-FraizerCampbell-LiamRidgewell-CraigGordon-AntoineFortuné,MarouaneChamakh-JonásGutiérrez-KieranRichardson-ThomasVermaelenOwn-NikoKranjcar-JazzRichards-AsamoahGyan-MarioBalotelli-DavidWheater-DavidJuniorHoilett-FlorentMalouda
1990,5,Fulham,Queens Park Rangers,D,AlexandreSong-SamHutchinson-AdamBogdan-MichaelTurner-AaronWilbraham-JonathanWalters-CharlesN'Zogbia-GabrielObertan-DanielAyala-DannyGrahamOwn-CraigGardner,AshleyWilliams-AhmedElMohamady-AaronLennon-TheoWalcott-ThomasVermaelen-FernandoTorres-ScottParker-NathanBaker-MarcTierney-ShaunWright-YayaTouré
1990,5,Sunderland,Everton,L,YossiBenayoun-JoshMcEachran-FrancisCoquelin-NicolasAnelka-FabricioColoccini-JodyCraddock-AaronRamseyOwn-ChicharitoPen.Scored-DarrenPratley-LukeMoore-CharlieAdamOwn,JamesMcArthur-VictorMoses-SamirNasri-SylvainDistin-CheickTioté-PeterOdemwingie-ZakWhitbread-PabloZabaleta-JakeLivermore-RyanBertrand-AngelRangel
1990,6,Manchester City,Tottenham Hotspur,L,StephenDobbie-JamesPerch-NickyShorey-AaronHughes-BenoitAssou-MartinSkrtel-ConnorWickham-JamesMilner-RyanShawcross-AnthonyPilkington-JohanDjourou,WayneRooney-GarethMcAuley-JohnO'Shea-DarrenBent-BradleyJohnson-StephenWard-KeirenWestwood-MatthewKilgallon-JonnyHowson-DavidStockdale-ParkJi
1990,6,West Bromwich Albion,Stoke City,D,BradleyOrr-PaulScholes-JordiGómez-SimeonJackson-JamieMackie-MicahRichards-JohnObiMikel-RichardDunne-NigelReo-TimHoward-RubénRochina,PhilNeville-MikelArteta-ChrisBaird-BobbyZamoraPen.Scored-ScottDann-ClintDempsey-ZoltánGera-MousaDembélé-StevenNzonzi-IvanKlasnic-JonjoShelvey
1990,6,Newcastle United,Aston Villa,D,DeclanRudd-LeeCattermole-KieronDyer-RobertHuth-MatthewJarvis-AsmirBegovic-MartinPetrov-KevinDoyleOwn-ShaunDerry-EmileHeskey-RichardStearman,JackRodwell-JasonRoberts-DidierDrogbaPen.Scored-JeanBeausejour-Marc-RussellMartin-DarrenBentPen.Scored-ClintHill-AndrewCrofts-AdamJohnson-StephenHuntPen.Scored
1990,6,Wolverhampton Wanderers,Blackburn Rovers,D,MichaelCarrick-MarcosAlonso-AlexOxlade-SimonCox-DarronGibson-DavidEdwards-SylvainMarveaux-AndreyArshavin-RioFerdinand-GaryGardner-ChrisEagles,StephenWarnock-FábioAurélio-AdamHenley-DavidFox-Nani-AndréSantos-WesHoolahan-MarkSchwarzer-KemyAgustien-RaulMeireles-RyanGiggs
1990,6,Manchester United,Chelsea,W,JonFlanagan-LeightonBainesPen.Scored-HenriqueHilário-StevenTaylor-StevenReidOwn-BranislavIvanovic-GlennWhelan-MarkGower-KieranGibbs-ZdenekGrygera-MichaelKightly,PhilippeSenderos-AntonFerdinand-LucasLeiva-JohnHeitinga-YohanCabaye-WilsonPalacios-LouisSaha-JoeyBarton-StephenIreland-RicardoGardner-TitusBramble
1990,6,Bolton Wanderers,Liverpool,D,ShaunMaloney-KyleNaughton-MatthewEtherington-StéphaneSessegnon-NenadMilijas-ElliottBennett-GrétarSteinsson-LeroyLita-DannyMurphy-NedumOnuoha-LaurentKoscielny,SotiriosKyrgiakos-AdamHammill-VincentKompany-DannyGabbidon-GarethBarry-MarouaneFellaini-Piscu-AntolínAlcaraz-ÁkosBuzsáky-SomenTchoyi-DorusdeVries
1990,6,Arsenal,Wigan Athletic,W,JonásGutiérrez-JonathanWoodgate-JonasOlsson-JordanHenderson-DJCampbell-MartinSkrtelOwn-NikoKranjcar-AndrewJohnson-MarouaneChamakh-YakubuPen.Scored-DavidWheater,WayneRooneyPen.Scored-KerimFrei-MarkDavies-RobbieKeane-PeterLøvenkrands-PapissDembaCissé-DavideSanton-TomCleverley-MarioBalotelliPen.Scored-TimCahill-YounesKaboul
1990,6,Queens Park Rangers,Norwich City,W,YayaTouré-ThomasVermaelen-EmmersonBoyce-AhmedElMohamady-NicklasBendtner-AshleyWilliams-KarlHenry-FernandoTorres-LukaModric-GaryCaldwell-DannyGuthrie,NemanjaVidic-MartinKelly-Chicharito-EmmanuelAdebayor-LukeYoung-SamRicketts-BillyJones-NathanDyer-SteveSidwell-WayneHennessey-KoloTouré
1990,6,Everton,Swansea City,L,MikeWilliamson-Coker-AnthonyModeste-BradFriedel-NikicaJelavicPen.Scored-RyanBertrand-PeterOdemwingie-VictorMoses-SylvanEbanks-CheickTioté-ZakWhitbread,PetrCech-MarcAlbrighton-Rafael-StephenHunt-StiliyanPetrov-Alex-DannyRose-SergioAgüeroPen.Scored-BacarySagna-FraizerCampbell-WayneBridge
1990,6,Sunderland,Fulham,D,GabrielAgbonlahor-JermainDefoe-JoshMcEachran-ThomasSørensen-DannyWelbeck-FabricioColoccini-DimitarBerbatovPen.Scored-AdelTaarabt-JodyCraddock-DaviddeGea-JoeRiley,DannyGrahamOwn-AdamBogdan-GeorgeElokobi-DavidJones-PauloFerreira-AlexandreSong-LeonBarnett-AndreasWeimann-CraigBellamy-BenFoster-GabrielObertan
1990,7,Tottenham Hotspur,West Bromwich Albion,W,MatthewKilgallon-JohnO'Shea-HarisVuckic-StephenWard-DarrenBent-RossBarkley-StevenGerrard-RafaelvanderVaart-AlbertCrusat-DenisStracqualursi-GrantHanley,BradleyOrr-NigelReo-SimonVukcevic-GrahamDorrans-Sung-SalomonKalou-RichardDunne-RubénRochina-JermainePennant-BobbyZamora-SimeonJackson
1990,7,Manchester City,Newcastle United,W,MahamadouDiarra-StevenFletcher-JohanDjourou-JamesMilner-DirkKuyt-VedranCorluka-RyanTaylor-SergioAgüero-SimonMignolet-JackColback-Fabio,RyanBennett-RadekCerny-BenWatsonPen.Scored-MartinPetrov-MattUpson-LeonBritton-LeeCattermole-RichardStearman-ShaunDerry-VictorAnichebe-DanielAggerOwn
1990,7,Stoke City,Wolverhampton Wanderers,W,JoséEnrique-PhilNeville-StevenNzonzi-MikelArteta-ChrisBaird-RicardoFuller-AlejandroFaurlin-IvanKlasnic-BobbyZamoraPen.Scored-MortenGamstPedersen-AlanHutton,ChrisBairdOwn-MichaelCarrick-ChrisEagles-FrankLampardPen.Scored-MarcosAlonso-KenwyneJones-GabrielTamas-GaryGardner-DarrenFletcher-KevinDoyle-AndreyArshavin
1990,7,Aston Villa,Manchester United,L,JackRodwell-Marc-WayneRoutledge-PepeReina-StephenHuntPen.Scored-JeanBeausejour-GaryCahill-ClintHill-DamienDuff-JermaineJenas-DidierDrogba,ScottDannOwn-DannyMurphyPen.Scored-GlennWhelan-StevenReidOwn-JoséBosingwa-CraigDawson-KieranGibbs-DanielAgger-StevenTaylor-HenriqueHilário-BranislavIvanovic
1990,7,Blackburn Rovers,Bolton Wanderers,W,RyanGiggs-GrantHoltPen.Scored-DavidFox-ChrisHerd-JohnRuddy-JasonLowe-Sandro-JamieO'Hara-FábioAurélio-AdamHenley-Nani,KyleNaughton-ElliottBennett-GarryMonk-JoeAllen-SholaAmeobi-PerMertesacker-NedumOnuoha-CameronJerome-MartinOlsson-PeterCrouch-JohnArneRiise
1990,7,Chelsea,Arsenal,W,LucasLeiva-PatriceEvra-RadosavPetrovic-JoeHart-EggertJónsson-YoussoufMulumbu-RicardoGardner-MartonFülöp-JohnHeitinga-PaulScharner-AntonFerdinand,MarioBalotelli-AsamoahGyan-DannyHigginbotham-FlorentMalouda-SéamusColeman-TuncaySanli-MarouaneChamakh-MartinSkrtelOwn-YakubuPen.Scored-NikoKranjcar-KieranRichardson
1990,7,Liverpool,Queens Park Rangers,W,TimKrul-PhilJones-JussiJääskeläinen-DorusdeVries-GarethBarry-VincentKompany-ÁkosBuzsáky-SebastienBassong-AntolínAlcaraz-AliAlHabsi-SotiriosKyrgiakos,TheoWalcott-LeonBest-AshleyWilliams-NathanBaker-DavidVaughan-ShaunWright-RonnieStam-KarlHenry-SteveGohouri-MarcTierney-CarlosCuellar
